metric,model,Central,North West,North East,West Coast,East Coast,Core Monsoon,India
90p,HADGEM2-ES,0.39,0.63,0.17,0.59,0.85,0.35,0.55
90p,PRECIS,0.52,0.66,0.17,0.82,0.83,0.69,0.71
95p,HADGEM2-ES,0.35,0.6,0.15,0.56,0.87,0.39,0.55
95p,PRECIS,0.28,0.57,0.17,0.78,0.81,0.58,0.62
99p,HADGEM2-ES,0.09,0.49,0.16,0.56,0.86,0.36,0.51
99p,PRECIS,-0.02,0.28,0.23,0.71,0.81,0.36,0.45
A_abs,HADGEM2-ES,-0.24,0.34,-0.1,0.6,0.91,0.25,0.44
A_abs,PRECIS,0.45,0.44,0.24,0.82,0.85,0.62,0.71
B_abs,HADGEM2-ES,0.79,0.89,0.42,0.73,0.9,0.48,0.74
B_abs,PRECIS,0.77,0.61,0.33,0.88,0.9,0.85,0.77
cdd_1_5,HADGEM2-ES,0.37,0.76,0.32,0.73,0.11,0.51,0.39
cdd_1_5,PRECIS,0.57,0.83,-0.09,0.59,0.75,0.48,0.72
cwd_1_5,HADGEM2-ES,0.29,0.61,0.3,0.47,0.72,0.36,0.38
cwd_1_5,PRECIS,0.6,0.8,0.6,0.63,0.58,0.67,0.69
timmean,HADGEM2-ES,0.34,0.67,0.31,0.62,0.88,0.3,0.54
timmean,PRECIS,0.62,0.62,0.25,0.83,0.88,0.7,0.72
timstd,HADGEM2-ES,-0.03,0.48,-0.02,0.46,0.63,0.17,0.29
timstd,PRECIS,0.17,0.49,0.3,0.68,0.64,0.38,0.45
